process_id,regions,capital_cost,fixed_operating_cost,variable_operating_cost,lifetime,discount_rate
GASDRV,GBR,10,0.3,2,25,0.1
OAGRSV,GBR,15,0.45,3,25,0.1
GASPRC,GBR,7,0.21,0.5,25,0.1
OILREF,GBR,9,0.27,0.66,25,0.1
OILRF2,GBR,9.1,0.3,0.68,25,0.1
WNDFRM,GBR,1000,30,0.4,25,0.1
GASCGT,GBR,700,21,0.55,30,0.1
H2YGEN,GBR,1200,1,0.6,30,0.1
H2YPRO,GBR,15,0.9,0.6,20,0.1
TPETCR,GBR,2,0.06,0.2,10,0.1
TDIECR,GBR,2.1,0.063,0.18,10,0.1
TELCCR,GBR,4,0.18,0.15,10,0.1
THYBCR,GBR,1,0.17,0.17,10,0.1
RGASBR,GBR,55.56,1.6668,0.16,15,0.1
RELCHP,GBR,138.9,4.167,0.17,15,0.1
BIOPRO,all,1,0.2,0.25,20,0.09
BIOPLL,all,2,0.22,0.26,20,0.1
RBIOBL,all,60,1.05,0.2,20,0.1
