process_id,commodity_id,regions,coeff,type,cost
GASDRV,GASPRD,all,1,fixed,
OAGRSV,OILCRD,all,1,fixed,
OAGRSV,GASPRD,all,0.1,fixed,
GASPRC,GASPRD,all,-1.05,fixed,
GASPRC,GASNAT,all,1,fixed,
OILREF,OILCRD,all,-1.3,fixed,
OILREF,GASOLI,all,0.5,fixed,
OILREF,DIESEL,all,0.5,fixed,
OILRF2,OILCRD,all,-1.31,fixed,
OILRF2,GASOLI,all,1,fixed,
WNDFRM,ELCTRI,all,1,fixed,
GASCGT,GASNAT,all,-1.5,fixed,
GASCGT,ELCTRI,all,1,fixed,
H2YGEN,H2YPRD,all,-1.5,fixed,
H2YGEN,ELCTRI,all,1,fixed,
H2YPRO,ELCTRI,all,-1.333,fixed,
H2YPRO,H2YPRD,all,1,fixed,
TPETCR,GASOLI,all,-2.702702703,fixed,
TPETCR,TPASKM,all,1,fixed,
TDIECR,DIESEL,all,-2.222222222,fixed,
TDIECR,TPASKM,all,1,fixed,
TELCCR,ELCTRI,all,-1.754385965,fixed,
TELCCR,TPASKM,all,1,fixed,
THYBCR,ELCTRI,all,-0.854385965,fixed,
THYBCR,GASOLI,all,-1.0,fixed,
THYBCR,TPASKM,all,1,fixed,
RGASBR,GASNAT,all,-1.15,fixed,
RGASBR,RSHEAT,all,1,fixed,
RELCHP,ELCTRI,all,-0.33,fixed,
RELCHP,RSHEAT,all,1,fixed,
GASDRV,CO2EMT,all,5.113,fixed,
OAGRSV,CO2EMT,all,7.333,fixed,
GASPRC,CO2EMT,all,2.5565,fixed,
OILREF,CO2EMT,all,21.999,fixed,
OILRF2,CO2EMT,all,22,fixed,
GASCGT,CO2EMT,all,76.695,fixed,
TPETCR,CO2EMT,all,179.7297297,fixed,
TDIECR,CO2EMT,all,154.0222222,fixed,
RGASBR,CO2EMT,all,58.7995,fixed,
BIOPRO,BIOPRD,all,1.0,fixed,
BIOPLL,BIOPRD,all,-1.05,fixed,
BIOPLL,BIOPEL,all,1.0,fixed,
RBIOBL,BIOPEL,all,-1.2,fixed,
RBIOBL,RSHEAT,all,1,fixed,
