process_id,regions,commission_years,time_slice,limits
GASDRV,all,all,annual,..0.9
GASPRC,all,all,annual,..0.9
BIOPLL,all,all,annual,..0.95
GASCGT,all,all,annual,..0.9
WNDFRM,all,all,winter.night,..0.486418015
WNDFRM,all,all,winter.day,..0.543166784
WNDFRM,all,all,winter.peak,..0.504433498
WNDFRM,all,all,winter.evening,..0.493173821
WNDFRM,all,all,peak.night,..0.312697296
WNDFRM,all,all,peak.day,..0.489120338
WNDFRM,all,all,peak.peak,..0.454890922
WNDFRM,all,all,peak.evening,..0.331034483
WNDFRM,all,all,summer.night,..0.17951141
WNDFRM,all,all,summer.day,..0.349950739
WNDFRM,all,all,summer.peak,..0.342294159
WNDFRM,all,all,summer.evening,..0.202674173
WNDFRM,all,all,autumn.night,..0.3513019
WNDFRM,all,all,autumn.day,..0.460745954
WNDFRM,all,all,autumn.peak,..0.396340605
WNDFRM,all,all,autumn.evening,..0.364813512
RGASBR,all,all,winter.night,0.252..0.253
RGASBR,all,all,winter.day,0.610..0.611
RGASBR,all,all,winter.peak,1.0..
RGASBR,all,all,winter.evening,0.517..0.518
RGASBR,all,all,peak.night,0.176..0.177
RGASBR,all,all,peak.day,0.329..0.330
RGASBR,all,all,peak.peak,0.612..0.613
RGASBR,all,all,peak.evening,0.278..0.279
RGASBR,all,all,summer.night,0.021..0.022
RGASBR,all,all,summer.day,0.025..0.026
RGASBR,all,all,summer.peak,0.028..0.029
RGASBR,all,all,summer.evening,0.015..0.016
RGASBR,all,all,autumn.night,0.143..0.144
RGASBR,all,all,autumn.day,0.264..0.265
RGASBR,all,all,autumn.peak,0.490..0.491
RGASBR,all,all,autumn.evening,0.220..0.221
RELCHP,all,all,winter.night,0.252..0.253
RELCHP,all,all,winter.day,0.610..0.611
RELCHP,all,all,winter.peak,1.0..
RELCHP,all,all,winter.evening,0.517..0.518
RELCHP,all,all,peak.night,0.176..0.177
RELCHP,all,all,peak.day,0.329..0.330
RELCHP,all,all,peak.peak,0.612..0.613
RELCHP,all,all,peak.evening,0.278..0.279
RELCHP,all,all,summer.night,0.021..0.022
RELCHP,all,all,summer.day,0.025..0.026
RELCHP,all,all,summer.peak,0.028..0.029
RELCHP,all,all,summer.evening,0.015..0.016
RELCHP,all,all,autumn.night,0.143..0.144
RELCHP,all,all,autumn.day,0.264..0.265
RELCHP,all,all,autumn.peak,0.490..0.491
RELCHP,all,all,autumn.evening,0.220..0.221
RBIOBL,all,all,winter.night,0.252..0.253
RBIOBL,all,all,winter.day,0.610..0.611
RBIOBL,all,all,winter.peak,1.0..
RBIOBL,all,all,winter.evening,0.517..0.518
RBIOBL,all,all,peak.night,0.176..0.177
RBIOBL,all,all,peak.day,0.329..0.330
RBIOBL,all,all,peak.peak,0.612..0.613
RBIOBL,all,all,peak.evening,0.278..0.279
RBIOBL,all,all,summer.night,0.021..0.022
RBIOBL,all,all,summer.day,0.025..0.026
RBIOBL,all,all,summer.peak,0.028..0.029
RBIOBL,all,all,summer.evening,0.015..0.016
RBIOBL,all,all,autumn.night,0.143..0.144
RBIOBL,all,all,autumn.day,0.264..0.265
RBIOBL,all,all,autumn.peak,0.490..0.491
RBIOBL,all,all,autumn.evening,0.220..0.221
