process_id,region_id,agent_id,capacity,commission_year
GASDRV,GBR,A0_GEX,4002.26,2020
GASPRC,GBR,A0_GPR,3782.13,2020
WNDFRM,GBR,A0_ELC,3.964844,2010
GASCGT,GBR,A0_ELC,2.43,2005
RGASBR,GBR,A0_RES,290.0,2011
RGASBR,GBR,A0_RES,290.0,2012
RGASBR,GBR,A0_RES,290.0,2013
RGASBR,GBR,A0_RES,290.0,2014
RGASBR,GBR,A0_RES,290.0,2015
RGASBR,GBR,A0_RES,290.0,2016
RGASBR,GBR,A0_RES,290.0,2017
RGASBR,GBR,A0_RES,290.0,2018
RGASBR,GBR,A0_RES,290.0,2019
RGASBR,GBR,A0_RES,290.0,2020
RELCHP,GBR,A0_RES,80,2016
RELCHP,GBR,A0_RES,80,2017
RELCHP,GBR,A0_RES,80,2018
RELCHP,GBR,A0_RES,80,2019
RELCHP,GBR,A0_RES,79.98,2020
