process_id,commodity_id,regions,coeff,type,cost
GASDRV,GASPRD,all,1.0,fixed,
GASPRC,GASPRD,all,-1.05,fixed,
GASPRC,GASNAT,all,1.0,fixed,
WNDFRM,ELCTRI,all,1.0,fixed,
GASCGT,GASNAT,all,-1.5,fixed,
GASCGT,ELCTRI,all,1.0,fixed,
RGASBR,GASNAT,all,-1.15,fixed,
RGASBR,RSHEAT,all,1.0,fixed,
RELCHP,ELCTRI,all,-0.33,fixed,
RELCHP,RSHEAT,all,1.0,fixed,
GASDRV,CO2EMT,all,5.113,fixed,
GASPRC,CO2EMT,all,2.5565,fixed,
GASCGT,CO2EMT,all,76.695,fixed,
RGASBR,CO2EMT,all,58.7995,fixed,
SLRFRM,ELCTRI,all,1.0,fixed,
