process_id,regions,time_slice,limits
GASDRV,all,annual,..0.9
GASPRC,all,annual,..0.9
GASCGT,all,annual,..0.9
WNDFRM,all,winter.night,..0.486418015
WNDFRM,all,winter.day,..0.543166784
WNDFRM,all,winter.peak,..0.504433498
WNDFRM,all,winter.evening,..0.493173821
WNDFRM,all,peak.night,..0.312697296
WNDFRM,all,peak.day,..0.489120338
WNDFRM,all,peak.peak,..0.454890922
WNDFRM,all,peak.evening,..0.331034483
WNDFRM,all,summer.night,..0.17951141
WNDFRM,all,summer.day,..0.349950739
WNDFRM,all,summer.peak,..0.342294159
WNDFRM,all,summer.evening,..0.202674173
WNDFRM,all,autumn.night,..0.3513019
WNDFRM,all,autumn.day,..0.460745954
WNDFRM,all,autumn.peak,..0.396340605
WNDFRM,all,autumn.evening,..0.364813512
SLRFRM,all,winter.night,..0.0
SLRFRM,all,winter.day,..0.071392212
SLRFRM,all,winter.peak,..0.0
SLRFRM,all,winter.evening,..0.0
SLRFRM,all,peak.night,..0.000354005
SLRFRM,all,peak.day,..0.207715640
SLRFRM,all,peak.peak,..0.001910149
SLRFRM,all,peak.evening,..0.0
SLRFRM,all,summer.night,..0.006640965
SLRFRM,all,summer.day,..0.310185297
SLRFRM,all,summer.peak,..0.019099418
SLRFRM,all,summer.evening,..0.0
SLRFRM,all,autumn.night,..0.000635743
SLRFRM,all,autumn.day,..0.237720679
SLRFRM,all,autumn.peak,..0.003512115
SLRFRM,all,autumn.evening,..0.0
